alpha = 0.369017, epsilon = 20, minimising p1 (0.4999966494413777) at 0.56 and p2 (0.49942128256183405) at 0.54
alpha = 0.369018, epsilon = 20, minimising p1 (0.49999104951026396) at 0.56 and p2 (0.49942667634081117) at 0.54
alpha = 0.369019, epsilon = 20, minimising p1 (0.49998544964186853) at 0.56 and p2 (0.4994320701780427) at 0.54
alpha = 0.36902, epsilon = 20, minimising p1 (0.4999798498361908) at 0.56 and p2 (0.4994374640735281) at 0.54
alpha = 0.369021, epsilon = 20, minimising p1 (0.49997425009323115) at 0.56 and p2 (0.4994428580272669) at 0.54
alpha = 0.369022, epsilon = 20, minimising p1 (0.4999686504129901) at 0.56 and p2 (0.4994482520392608) at 0.54
alpha = 0.369023, epsilon = 20, minimising p1 (0.4999630507954635) at 0.56 and p2 (0.49945364610951165) at 0.54
alpha = 0.369024, epsilon = 20, minimising p1 (0.4999574512406517) at 0.56 and p2 (0.4994590402380166) at 0.54
alpha = 0.369025, epsilon = 20, minimising p1 (0.49995185174855533) at 0.56 and p2 (0.4994644344247797) at 0.54
alpha = 0.369026, epsilon = 20, minimising p1 (0.49994625231917234) at 0.56 and p2 (0.4994698286698005) at 0.54
alpha = 0.369027, epsilon = 20, minimising p1 (0.4999406529525033) at 0.56 and p2 (0.4994752229730784) at 0.54
alpha = 0.369028, epsilon = 20, minimising p1 (0.49993505364854635) at 0.56 and p2 (0.49948061733461635) at 0.54
alpha = 0.369029, epsilon = 20, minimising p1 (0.49992945440730185) at 0.56 and p2 (0.4994860117544127) at 0.54
alpha = 0.36903, epsilon = 20, minimising p1 (0.4999238552287669) at 0.56 and p2 (0.49949140623247035) at 0.54
alpha = 0.369031, epsilon = 20, minimising p1 (0.49991825611294427) at 0.56 and p2 (0.4994968007687888) at 0.54
alpha = 0.369032, epsilon = 20, minimising p1 (0.49991265705983084) at 0.56 and p2 (0.4995021953633664) at 0.54
alpha = 0.369033, epsilon = 20, minimising p1 (0.49990705806942604) at 0.56 and p2 (0.49950759001620715) at 0.54
alpha = 0.369034, epsilon = 20, minimising p1 (0.49990145914172907) at 0.56 and p2 (0.4995129847273117) at 0.54
alpha = 0.369035, epsilon = 20, minimising p1 (0.49989586027674154) at 0.56 and p2 (0.49951837949667843) at 0.54
alpha = 0.369036, epsilon = 20, minimising p1 (0.4998902614744605) at 0.56 and p2 (0.4995237743243091) at 0.54
alpha = 0.369037, epsilon = 20, minimising p1 (0.499884662734884) at 0.56 and p2 (0.4995291692102032) at 0.54
alpha = 0.369038, epsilon = 20, minimising p1 (0.49987906405801497) at 0.56 and p2 (0.4995345641543636) at 0.54
alpha = 0.369039, epsilon = 20, minimising p1 (0.49987346544384914) at 0.56 and p2 (0.4995399591567886) at 0.54
alpha = 0.36904, epsilon = 20, minimising p1 (0.4998678668923892) at 0.56 and p2 (0.4995453542174813) at 0.54
alpha = 0.369041, epsilon = 20, minimising p1 (0.4998622684036311) at 0.56 and p2 (0.49955074933643984) at 0.54
alpha = 0.369042, epsilon = 20, minimising p1 (0.4998566699775776) at 0.56 and p2 (0.49955614451366614) at 0.54
alpha = 0.369043, epsilon = 20, minimising p1 (0.4998510716142245) at 0.56 and p2 (0.49956153974916184) at 0.54
alpha = 0.369044, epsilon = 20, minimising p1 (0.49984547331357226) at 0.56 and p2 (0.49956693504292426) at 0.54
alpha = 0.369045, epsilon = 20, minimising p1 (0.49983987507562244) at 0.56 and p2 (0.4995723303949585) at 0.54
alpha = 0.369046, epsilon = 20, minimising p1 (0.49983427690037097) at 0.56 and p2 (0.4995777258052607) at 0.54
alpha = 0.369047, epsilon = 20, minimising p1 (0.4998286787878194) at 0.56 and p2 (0.499583121273836) at 0.54
alpha = 0.369048, epsilon = 20, minimising p1 (0.4998230807379659) at 0.56 and p2 (0.49958851680068045) at 0.54
alpha = 0.369049, epsilon = 20, minimising p1 (0.49981748275081084) at 0.56 and p2 (0.49959391238579814) at 0.54
alpha = 0.36905, epsilon = 20, minimising p1 (0.49981188482635247) at 0.56 and p2 (0.4995993080291886) at 0.54
alpha = 0.369051, epsilon = 20, minimising p1 (0.49980628696459123) at 0.56 and p2 (0.49960470373085236) at 0.54
alpha = 0.369052, epsilon = 20, minimising p1 (0.4998006891655253) at 0.56 and p2 (0.49961009949078894) at 0.54
alpha = 0.369053, epsilon = 20, minimising p1 (0.4997950914291538) at 0.56 and p2 (0.4996154953090013) at 0.54
alpha = 0.369054, epsilon = 20, minimising p1 (0.4997894937554774) at 0.56 and p2 (0.4996208911854877) at 0.54
alpha = 0.369055, epsilon = 20, minimising p1 (0.499783896144493) at 0.56 and p2 (0.49962628712025) at 0.54
